SKU,Product Name,Category,Author,Stars,Subject,Reviews,Review_English,Date,MarketPlace,Sentiment_GPT,YearMonth,Negative_Reason,Positive_Reason,Neutral_Reason
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Prac,5,Muy bueno,En general muy bueno lo recomiendo. Tiene  un bonito acabado,"Overall, it's very good, I recommend it. It has a nice finish.",2019-07-25,HomeCenter,Positive,2019-07,,General,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Lobo147,4,Buen producto,No lo e instalado todavia es un poco bajo referente a los convencionales y por el espacio reducido que tengo en el baño toco modificar la salida del tubo de agua ya que quedaba muy pegado al sanitario,"I haven't installed it yet; it's a bit lower compared to conventional ones, and due to the limited space I have in the bathroom, I need to modify the water pipe outlet since it was too close to the toilet.",2022-08-11,HomeCenter,Neutral,2022-08,,,Other
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Anonymous [anonymous],4,Bueno,La tapa del tanque se quebró y no he podido conseguir por favor ayudarme mil graciad,"The tank lid broke, and I haven't been able to find a replacement. Please help me, thank you so much!",2023-06-29,Corona,Negative,2023-06,Service,,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,Diana Yazmin,5,,Excelente producto,Excellent product.,2023-09-22,HomeCenter,Positive,2023-09,,General,
121361001,Sanitario San Giorgio Alongado Blanco,Toilets,FRANCISCO,5,,N/a,Review: N/a,2024-02-12,HomeCenter,Neutral,2024-02,,,Other
121511001,Sanitario Fussion,Toilets,Portu,1,Llegó quebrado,"Ni lo probé, metí la mano en la caja y me corté, poco cuidado el repartidor, lo dejo y arrancó.",I didn't even try it; I reached into the box and cut myself. The delivery person was careless; they just dropped it off and left.,2022-02-27,HomeCenter,Negative,2022-02,Service,,
121511001,Sanitario Fussion,Toilets,Compra internet,1,Base,"Queda separado del muro, no sirve para base excéntrica, el espacio entre el wc y el suelo es escaso.","It is separated from the wall, not suitable for an eccentric base, and there is little space between the toilet and the floor.",2022-02-27,HomeCenter,Negative,2022-02,Toilet,,
121511001,Sanitario Fussion,Toilets,Nicolas,1,No se puede instalar,"El espacio disponible para apretar los pernos no permite una instalación adosada al muro. Esto es porque la curva inferior está mal diseñada y es muy estrecha (al comparar con otro modelo de la competencia), y por lo tanto es necesario separa el fondo del estanque unos 5 cms, lo cual no es practico - se cae todo lo que apoyes -  y antiestético - queda como una isla-. Por el poco espacio, no puedes apretar bien y por lo tanto quedará suelto. Se perdió mucho tiempo en obra, buscamos distintos tipos de herramientas (y dinero en obra) hasta que decidimos cambiarlo porque lo que es muy difícil de fijar, será imposible de sacar si posteriormente los pernos se oxidan.","The available space to tighten the bolts does not allow for a flush installation against the wall. This is because the lower curve is poorly designed and very narrow (compared to another model from a competitor), which means you have to keep the back of the pond about 5 cm away from the wall. This is impractical—everything you place there falls over—and unappealing, as it looks like an island. Due to the limited space, you can't tighten it properly, so it will end up loose. We wasted a lot of time on the project, trying different types of tools (and money on the work) until we decided to replace it because what is very difficult to secure will be impossible to remove if the bolts rust later.",2022-06-02,HomeCenter,Negative,2022-06,Service,,
121511001,Sanitario Fussion,Toilets,Natalia R,1,MALA EXPERIENCIA,"Compré 2 Toilets fussion corona por Internet. Me llegaron en mal estado con imperfectos. Hice todo el proceso para revisión y garantía. No me solucionaron, llevo 15 días esperando y ayer me dijeron que se cerraba el caso. Sigo con los Toilets con imperfectos en la cerámica y las tapas NO cierran suave.","I bought 2 Fusion Corona toilets online. They arrived in poor condition with defects. I went through the entire process for review and warranty. They didn't resolve the issue; I've been waiting for 15 days, and yesterday they told me the case was closed. I'm still stuck with toilets that have defects in the ceramic, and the lids do not close smoothly.",2022-09-06,HomeCenter,Negative,2022-09,Service,,
121511001,Sanitario Fussion,Toilets,Luisa191027,5,Sanitario fusión blanco,Excelente recomendado  es un producto ahorrador de agua,"Excellent, highly recommended. It is a water-saving product.",2022-10-06,HomeCenter,Positive,2022-10,,General,
121511001,Sanitario Fussion,Toilets,MAPS,5,producto bueno,Compré el producto en este mes y funciona perfectamente,I bought the product this month and it works perfectly.,2022-10-06,HomeCenter,Positive,2022-10,,General,
121511001,Sanitario Fussion,Toilets,ManInvolution89,4,Buen producto,"Estético, práctico y funcional!! Le da un toque de elegancia y distinción al baño.","Aesthetic, practical, and functional!! It adds a touch of elegance and distinction to the bathroom.",2022-10-06,HomeCenter,Positive,2022-10,,General,
121511001,Sanitario Fussion,Toilets,Sandra B,4,El proceso es muy sencillo,"En general estuvo muy bien la experiencia, sin embargo es una lástima que quienes transportan los artículos no ayuden dejándolo en el lugar de la instalación. Afortunadamente había en ese momento quien me ayudara a subirlo al apartamento, de lo contrario no sé qué habría hecho para entrarlo.","Overall, the experience was very good; however, it's a shame that those who transport the items don't help by placing them in the installation location. Fortunately, there was someone available at that moment to help me carry it up to the apartment; otherwise, I don't know what I would have done to get it inside.",2024-02-27,Corona,Neutral,2024-02,,,Other
121541001,Sanitario Burgos,Toilets,Maeva,5,"Fantastico, economico ,producto colombiano",Eleganza y design..economico eccellente calidad  ok,Review: Elegance and design... excellent quality at an affordable price.,2020-03-12,HomeCenter,Positive,2020-03,,Toilet,
121541001,Sanitario Burgos,Toilets,FUENTES REYES,5,"MARAVILLOSO, DE BUENA CALIDAD, HERMOSO.","Compré este producto, es de buena calidad y muy hermoso.","I bought this product, and it is of good quality and very beautiful.",2023-06-16,HomeCenter,Positive,2023-06,,Toilet,
121541001,Sanitario Burgos,Toilets,Alejandro Rodríguez H.,3,"excelente producto, pero...","el sanitario cumplió muy expectativas, pero no vino con las mangueras de instalación y estas son diferentes a las de un sanitario normal. fue necesario  buscarlas en varias partes. esto se debe advertir cuando se compre este tipo de productos. también ofrecer la instalación, porque no es un sanitario común y su instalación no es sencilla.","The toilet met my expectations, but it didn't come with the installation hoses, and these are different from those of a standard toilet. I had to search for them in several places. This should be noted when purchasing this type of product. It would also be helpful to offer installation services, as this is not a regular toilet and its installation is not straightforward.",2023-11-03,Corona,Neutral,2023-11,,,Other
121611001,Sanitario Nyren,Toilets,Anonymous [anonymous],5,"Despues de usar este sanitario, no se quiere volver a usar ninguno diferente.","Por salud, la mejor inversión que he hecho.  La sensación de higiene, y el minimizar el uso de papel, me hacen sentir muy bien.Adicionalmente su desempeño es tremendo, haciendo imposible que se atasque.  Me advirtieron que su sistema exige que haya una presión adecuada en la red de agua.","For health, this is the best investment I've made. The feeling of cleanliness and the reduction in paper use make me feel very good. Additionally, its performance is amazing, making it impossible for it to get clogged. I was warned that its system requires adequate pressure in the water supply.",2023-07-07,Corona,Positive,2023-07,,General,
121691001,Sanitario Nyren Lite,Toilets,Angela Plazas,0,Tiene un problema de diseño para retención de olores,"me gusto mucho el acabado, el color",I really liked the finish and the color.,2024-02-29,Corona,Positive,2024-02,,General,
121731001,Sanitario Sevilla,Toilets,Anonymous [anonymous],4,Detalle de fabricación,"En estos días compre un sanitario Sevilla corona, cuando lo instalaron con el uso salia el mal olor a cañería, lo hice revisar del instalador pero estaba bien sellado, en la revisión pudo notar que en la parte interna existen dos orificios que es por donde se escapa los olores, me comunique con corona y el técnico me informo que eran los orificios de fabricación que los tapara con cinta para que no saliera olor y efectivamente dejo de oler; pero quedo  decepcionado  para un sanitario de ese precio al menos colocar dos tapones de fabrica para evitar este problema. ","Recently, I bought a Sevilla toilet from Corona. When it was installed, it emitted a bad sewer smell during use. I had the installer check it, and he confirmed it was properly sealed. Upon inspection, he noticed that there were two holes inside the toilet that were allowing the odors to escape. I contacted Corona, and the technician informed me that these were manufacturing holes and suggested I cover them with tape to stop the smell, which indeed worked. However, I was disappointed that for a toilet at this price, they didn't include two factory plugs to prevent this issue.",2022-04-20,Corona,Negative,2022-04,Service,,
200401001,Sanitario Aquapro Alongado Blanco,Toilets,Andrés Ramirez Gonzalez [andrago23@gmail.com],5,El mejor desempeño,"Tengo este sanitario en mi hogar y es excelente, primero es ahorrador de agua y así te ayuda a disminuir los gastos de los Services de tu hogar y por otro lado el desempeño es excelente, el sanitario nunca se tapa y esto es fundamental para no pasar penas en tu casa.","I have this toilet in my home and it is excellent. First, it saves water, which helps reduce your household expenses. On the other hand, its performance is outstanding; the toilet never clogs, which is essential to avoid any embarrassment at home.",2023-06-26,Corona,Positive,2023-06,,General,
278431001,Sanitario Aquapro Redondo Blanco,Toilets,Anonymous [anonymous],5,Buen producto,Lo compre en la página web lo bueno estaba en promo que ahorro dinero ya está en funcionamiento el sanitario que ahorra agua y menos de 1 o 2  metros de agua al mes,"I bought it on the website, and the good thing was that it was on sale, so I saved money. The toilet is now working, and it saves water, using less than 1 or 2 meters of water per month.",2023-07-04,Corona,Positive,2023-07,,General,
278471001,Sanitario Ultra Ahorrador Aluvia Redondo Blanco,Toilets,Carolina j,3,Tapa tanque plástica,"Tiene la tapa del tanque plástica, sería genial si fuera en ceramica ",The tank lid is plastic; it would be great if it were ceramic.,2023-09-06,Corona,Neutral,2023-09,,,Other
278471001,Sanitario Ultra Ahorrador Aluvia Redondo Blanco,Toilets,RAMON ANTONIO GARCIA GUERRERO,5,moderno y eficiente,"recomendado para ahorrar en el consumo de agua, ademas de tener un diseño moderno y elegante","Recommended for saving water consumption, in addition to having a modern and elegant design.",2023-10-22,Corona,Positive,2023-10,,Toilet,
278471001,Sanitario Ultra Ahorrador Aluvia Redondo Blanco,Toilets,Alfonso Sierra,4,Cinco,Rapidez de descarga con poca agua,Review: Fast drying with little water.,2024-04-25,Corona,Positive,2024-04,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,José Robayo,4,Lo que nesecito,"A tes compré Toilets más costosos, pero este era lo que nesecitaba para un baño en especial","I bought more expensive toilets, but this was exactly what I needed for a specific bathroom.",2023-03-31,HomeCenter,Positive,2023-03,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Jhon,5,,Muy buena calidad,Very good quality.,2023-05-25,HomeCenter,Positive,2023-05,,Toilet,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,peralma,5,Bien acabado,Lo compré hace unas semanas y está funcionando a la perfección,I bought it a few weeks ago and it's working perfectly.,2023-06-23,HomeCenter,Positive,2023-06,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Wilson,5,,N/a,Review: N/a,2023-08-24,HomeCenter,Neutral,2023-08,,,Other
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Carlos,5,,Excelente producto,Excellent product.,2023-09-23,HomeCenter,Positive,2023-09,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Carmen,5,,Buena,Good,2023-10-12,HomeCenter,Positive,2023-10,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Vickych,5,Buen diseño y económico,Compré este producto y ha sido de muy buen funcionamiento y ahorrador de agua,I bought this product and it has been very effective and water-saving.,2023-12-05,HomeCenter,Positive,2023-12,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Jhon,5,,La calidad es muy buena y es el tamaño acertado,The quality is very good and it is the right size.,2023-12-05,HomeCenter,Positive,2023-12,,Toilet,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Carmen,5,,"Es exactamente como luce en la foto, el inodoro es muy bueno en cuanto a ahorrar agua por el tamaño de la sisterna.",It's exactly as it looks in the picture; the toilet is very good at saving water due to the size of the tank.,2024-01-04,HomeCenter,Positive,2024-01,,General,
300641001,Sanitario Acuaplus Ultra Blanco,Toilets,Laura Velásquez,3,En cuanto al funcionamiento no tengo queja,"Me llego con un imperfecto en la tapa, no afecta el funcionamiento pero estéticamente no se ve bien,  es algo que es imperceptible a primera vista por eso no lo detecte el día de la entrega , mi recomendación es revisar muy bien cuando llegue el pedido.  Tampoco recomiendo la instalación por medio de Home center,  se demora mucho el servicio después de que llega el producto, me toco cancelarlo y pedir el reembolso de mi dinero, y contratar el servicio por otro medio, si lo necesitan de manera urgente como era mi caso, no es una opción.","The product arrived with an imperfection on the lid. It doesn't affect its functionality, but it doesn't look good aesthetically. It's something that is not noticeable at first glance, which is why I didn't detect it on the day of delivery. My recommendation is to check everything very carefully when the order arrives. I also do not recommend the installation service through Home Center; it takes a long time after the product arrives. I had to cancel it and request a refund, then hire the service through another provider. If you need it urgently, as I did, this is not a viable option.",2024-03-24,HomeCenter,Negative,2024-03,Service,,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,Dorilla,5,Economía y cuidado,"Compré el producto porque ayuda en bajo consumo de agua, no hace tanto ruido al cargar el tanque, es más pequeño y me gusta el diseño","I bought the product because it helps with low water consumption, it doesn't make much noise when filling the tank, it's smaller, and I like the design.",2020-02-16,HomeCenter,Positive,2020-02,,Toilet,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,hectorguti,5,Funciona muy bien,"Desde que lo compré me gustado mucho, es un buen producto","Since I bought it, I have liked it a lot; it's a good product.",2021-05-07,HomeCenter,Positive,2021-05,,General,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,,5,Muy buen producto.,"Muy buen producto y muy buen precio, se ajusto a la necesidad que tenia.","Very good product and very good price, it met my needs perfectly.",2021-08-01,HomeCenter,Positive,2021-08,,General,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,ASFA,4,Muy bueno para lo necesario,"Diseño compacto, ergonómico y eficiente. .........","Review: Compact, ergonomic, and efficient design.",2022-02-12,HomeCenter,Positive,2022-02,,Toilet,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,Bernard25ate,4,Funcional y cómodo.,Lo conseguí a muy buen precio y el diseño me agrada.,I got it at a very good price and I like the design.,2022-04-15,HomeCenter,Positive,2022-04,,Toilet,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,Samimy19745¹,5,Calidad y precios,Excelente productos. Buen Precios calidad y función,Excellent products. Good quality and function for the price.,2022-05-07,HomeCenter,Positive,2022-05,,Toilet,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,SanAteoApostol,1,Cancele la compra antes del transporte,"Me di cuenta que necesitaba un sanitario de color diferente, con el bono compre otra referencia y me la enviaron del color equivocado.","I realized that I needed a toilet in a different color. With the bonus, I bought another model, but they sent it in the wrong color.",2022-06-24,HomeCenter,Negative,2022-06,Toilet,,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,Mangel7,5,Hermoso sanitario muy buen estado,Compré este producto el mes paso y me encantó es genial,I bought this product last month and I loved it; it's great!,2022-07-08,HomeCenter,Positive,2022-07,,General,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,marrod,5,Muy buen producto corona siempre deja clientes sat,Me gusta mucho la linea corona buena marca y experiencia,I really like the Corona line; it's a good brand and I have a great experience with it.,2022-08-26,HomeCenter,Positive,2022-08,,General,
300641031,Sanitario Acuaplus Ultra Bone,Toilets,Camalenoes,5,Funcionalidad,"Buen producto , es funcional , tiene un buen precio y es de calidad","Good product, it is functional, has a good price, and is of quality.",2024-01-12,HomeCenter,Positive,2024-01,,Toilet,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Anonymous [anonymous],2,Descarga con problemas,Cuando el agua no llega con presión la descarga es imposible ósea que prácticamente queda sin poderse usar el baño. Es un tema que deberían explicar al momento de venderse . Es el baño más caro pero esto lo hace el más malo,"Review: When the water doesn't come with pressure, using the toilet is impossible, which means the bathroom is practically unusable. This is something that should be explained at the time of sale. It's the most expensive bathroom, but this makes it the worst.",2020-04-15,Corona,Negative,2020-04,Service,,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Anonymous [anonymous],2,No Repuestos,Tengo tres inodoros prestigio y no se le consiguen repuestos ,"I have three Prestige toilets, and it's hard to find replacement parts for them.",2020-05-26,Corona,Negative,2020-05,Service,,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Danilogo,5,,Excelente producto. Este sanitario no se tapa nunca.,Excellent product. This toilet never gets clogged.,2020-07-24,HomeCenter,Positive,2020-07,,General,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Manuel palacio,5,Muy bonito y funcional,Compre este producto; descarga súper rápido en 2 segundos. Se ve lo fino que es ante los otros,I bought this product; it downloads super fast in 2 seconds. You can really see how much better it is compared to the others.,2020-07-24,HomeCenter,Positive,2020-07,,General,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Ttmatarabat,5,"Excelente, lo que buscaba!!",Lo compre el mes pasado y hasta ek momento todo muy vien,I bought it last month and so far everything is going very well.,2020-07-28,HomeCenter,Positive,2020-07,,General,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Luis Fernando Mesa Alvarez,1,Muy malo,Cuándo se va a sea el tanque queda filtrando agua por una válvula en la parte inferior y al no tener desagüe hacia la taza con el tiempo se represa y toca sacarla a cocadas cada ocho días si no se pudre. ,"Review: When the tank is emptied, it continues to leak water through a valve at the bottom. Since there is no drainage to the bowl, over time it accumulates, and I have to remove it in buckets every eight days, or else it will start to rot.",2023-09-22,Corona,Negative,2023-09,Service,,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Franki garcia,0,Alternativas,Para ser un sanitario tan costoso deberían tener mejor calidad en los componentes de descarga. El tanque se fisura y da la sensación que va a estallar por la presión haciéndole daño mortal a mi familia. Es aceptable que las piezas dinámicas necesiten recambio a los años pero no está bien que un tanque en plástico que demora siglos en descomponerse en la naturaleza se dañe en solo unos años en un baño.,"Review: For such an expensive toilet, the quality of the flushing components should be better. The tank cracks and feels like it’s going to burst from the pressure, which could be deadly for my family. It’s acceptable for dynamic parts to need replacement after a few years, but it’s not right that a plastic tank, which takes ages to decompose in nature, gets damaged in just a few years in a bathroom.",2023-10-06,Corona,Negative,2023-10,Service,,
306361001,Sanitario Ultra Ahorrador Prestigio,Toilets,Bernardo Mariño González,5,Muy bueno,"Desde hace rato lo queria comprar, pero termina siendo un gasto importante. Espero comprar para los otros baños de mi casa","I've been wanting to buy this for a while, but it ends up being a significant expense. I hope to buy it for the other bathrooms in my house.",2024-04-29,Corona,Neutral,2024-04,,,Other
320381001,Sanitario Acuacer 2 Piezas Blanco,Toilets,,5,Buen desempeño,Producto acorde al precio. Buen desempeño Corona es lo mejor,The product is in line with its price. It performs well; Corona is the best.,2020-12-18,HomeCenter,Positive,2020-12,,General,
320381001,Sanitario Acuacer 2 Piezas Blanco,Toilets,Jeny8,5,Excelente producto,Compré este producto y es de una excelente marca y calidad. Es muy eficiente su sistema de ahorro,"I bought this product, and it is from an excellent brand with great quality. Its energy-saving system is very efficient.",2022-09-15,HomeCenter,Positive,2022-09,,Toilet,
320381001,Sanitario Acuacer 2 Piezas Blanco,Toilets,Alejandro225566,5,excelente producto,"me gusto la rapidez del envío, la forma en que viene embalado el producto, y la calidad","I liked the speed of the shipping, the way the product is packaged, and the quality.",2022-09-15,HomeCenter,Positive,2022-09,,Toilet,
326201001,Sanitario Happy Blanco,Toilets,linajair77,5,Practico,Modelo con buen diseño y muy práctico para los espacios requeridos,Model with a good design and very practical for the required spaces.,2021-10-07,HomeCenter,Positive,2021-10,,Toilet,
326201001,Sanitario Happy Blanco,Toilets,EdelmiraS,5,Súper excelente,"Tengo ya cinco Toilets son de excelente calidad,precio y ahorro","I already have five toilets, and they are of excellent quality, price, and savings.",2021-10-07,HomeCenter,Positive,2021-10,,Toilet,
326201001,Sanitario Happy Blanco,Toilets,Karem89,4,Excelente,Me encantó el producto pero indudablemente la entrega y la responsabilidad de la entrega es excelente.,"I loved the product, but undoubtedly the delivery and the responsibility of the delivery are excellent.",2021-10-07,HomeCenter,Positive,2021-10,,General,
326201001,Sanitario Happy Blanco,Toilets,Tapa,3,Tapa defectusa,Compre el.sanitario y la tapa vino torcida al instalar queda levantada,"I bought the toilet, and the lid came warped; it sits unevenly after installation.",2022-01-28,HomeCenter,Negative,2022-01,Service,,
326201001,Sanitario Happy Blanco,Toilets,Josej,3,Sanitario pequeño no ahorrador de agua,Lo compre por la medida de 54 largo porque mi espacio es pequeño. Sugiero que elaboren uno pequeño y ahorrador,I bought it in the size 54 long because my space is small. I suggest that they make a smaller and more space-saving version.,2022-03-27,HomeCenter,Neutral,2022-03,,,Other
326201001,Sanitario Happy Blanco,Toilets,,3,Normalito,Lo cambie para que me enviaran uno blanco y me lo volvieron a enviar beige,"I requested a white one, but they sent me a beige one again.",2022-07-02,HomeCenter,Negative,2022-07,Toilet,,
326201001,Sanitario Happy Blanco,Toilets,DIFANES,5,ES MUY PRÁCTICO,"LO RECOMIENDO POR SU TAMAÑO, COLOR, UTILIDAD, PRECIO, SERVICIO Y ATENCIÓN DEL PERSONAL HOMECENTER","I RECOMMEND IT FOR ITS SIZE, COLOR, UTILITY, PRICE, SERVICE, AND ATTENTION FROM THE HOMECENTER STAFF.",2022-08-25,HomeCenter,Positive,2022-08,,General,
326201001,Sanitario Happy Blanco,Toilets,Eiderjchaves,5,cumplió con mis expectativas,Cumplió con mis expectativas el producto . Estoy satisfecho,The product met my expectations. I am satisfied.,2022-09-24,HomeCenter,Positive,2022-09,,General,
326201001,Sanitario Happy Blanco,Toilets,Miguel 1276,5,Exelente,Lo compre el mes pasado y ya esta instalado. Muy lindo gracias.,"I bought it last month and it's already installed. Very nice, thank you.",2023-04-08,HomeCenter,Positive,2023-04,,General,
326201001,Sanitario Happy Blanco,Toilets,Andres David,5,,Bien sanitaro,Review: Good sanitary product.,2023-06-21,HomeCenter,Positive,2023-06,,General,
326201031,Sanitario Happy Blanco,Toilets,luzangelag6,4,,"La tapa es muy endeble pero por lo demas era lo que buscaba, pequeno y ahorrador.","The lid is very flimsy, but other than that, it was exactly what I was looking for: small and efficient.",2021-11-28,HomeCenter,Neutral,2021-11,,,Other
326201031,Sanitario Happy Blanco,Toilets,dxalejo,5,buen producto y bonito,es funcional para espacios pequeños y con los elementos adecuados queda trabajando muy bien,"It's functional for small spaces, and with the right elements, it works very well.",2022-07-23,HomeCenter,Positive,2022-07,,General,
326201031,Sanitario Happy Blanco,Toilets,Fannygo,1,Publicidad engañosa,En las especificaciones decía cierre lento y son mentirss,"The specifications said it had a slow closure, but that's a lie.",2022-07-25,HomeCenter,Negative,2022-07,Toilet,,
340021001,Sanitario Laguna Blanco,Toilets,Anonymous [anonymous],4,Economicos,Bien instalados proveen descargas muy eficientes con menos de los 4.8 litros. cambié dos en mi apartamento y me redujeron el consumo en 2 m3/mes.,"Well installed, they provide very efficient flushes with less than 4.8 liters. I replaced two in my apartment, and they reduced my consumption by 2 m3/month.",2022-04-05,Corona,Positive,2022-04,,Toilet,
340021001,Sanitario Laguna Blanco,Toilets,GONZO1905,5,Muy chevere,Lo compre y muy bonito llego wn perfecto estado y completo,I bought it and it arrived very nicely in perfect condition and complete.,2022-04-07,HomeCenter,Positive,2022-04,,General,
340021001,Sanitario Laguna Blanco,Toilets,,1,Pésimo servicio,Nunca llegó el producto hace  un mes lo compre y jamás llego y ni siquiera una excusa pesimo,"The product never arrived. I bought it a month ago, and it never showed up, not even an apology. Terrible service.",2022-04-07,HomeCenter,Negative,2022-04,Service,,
340021001,Sanitario Laguna Blanco,Toilets,Javiera,5,,"excelente calidad, el mismo diseño solicitado y una entrega súper rápida como lo necesitaba","Excellent quality, the same design I requested, and super fast delivery just as I needed.",2022-05-26,HomeCenter,Positive,2022-05,,Toilet,
340021001,Sanitario Laguna Blanco,Toilets,GabrielRico,4,buen producto,"un buen producto, buen precio, entregas muy demoradas.","A good product, good price, but very delayed deliveries.",2023-01-13,HomeCenter,Negative,2023-01,Service,,
340021001,Sanitario Laguna Blanco,Toilets,Milj,5,"Súper, más práctico!",Lo compré  hace 9 días y todo perfecto desde su instalación hasta ahora el uso,I bought it 9 days ago and everything has been perfect from the installation to now during use.,2023-01-27,HomeCenter,Positive,2023-01,,General,
340021001,Sanitario Laguna Blanco,Toilets,Anonymous [anonymous],5,Son muy bonitos,,,2023-03-30,Corona,,2023-03,,,
340021111,Sanitario Laguna Azul Claro,Toilets,Diana,5,,Es igual a la foto llegó en perfecto Estado,It's just like the photo and arrived in perfect condition.,2023-11-30,HomeCenter,Positive,2023-11,,General,
501111001,Sanitario Infantil Kiddy Blanco,Toilets,,1,PÉSIMO SERVICIO --NO LO RECOMIENDO,"NUNCA ENTREGARON EL PROPDUCTO, NO RESPONDEN , NI HACEN DEVOLUCIÓN DEL DINERO- Pésima atención al cliente lo recomiendo 0","Review: THEY NEVER DELIVERED THE PRODUCT, THEY DON'T RESPOND, AND THEY DON'T REFUND THE MONEY - Terrible customer service, I do not recommend it at all.",2022-09-17,HomeCenter,Negative,2022-09,Service,,
O20801001,Sanitario Ultra Ahorrador Powermax Blanco,Toilets,Estaban,1,Pésimo producto,"este inodoro es como para niños, realmente cada vez que defeco el inodoro se tapa, solo a mi sobrino le sirve, realmente estoy muy molesto, no puedo defecar correctamente. Realmente no se si es muy poca su capacidad.","This toilet is like one for kids; every time I use it, it gets clogged. It only works for my nephew. I'm really frustrated because I can't use it properly. I don't know if it has a very low capacity.",2022-09-29,HomeCenter,Negative,2022-09,Toilet,,
